iter	Passed	Remaining
165	1247	6269
166	1248	6229
167	1249	6189
168	1250	6150
169	1251	6111
170	1252	6073
171	1253	6036
172	1254	5998
173	1255	5961
174	1256	5925
175	1257	5889
176	1258	5853
177	1259	5817
178	1260	5782
179	1261	5747
180	1262	5711
181	1263	5676
182	1264	5643
183	1265	5610
184	1266	5577
185	1267	5544
186	1267	5512
187	1268	5480
188	1269	5449
189	1270	5417
190	1271	5386
191	1272	5356
192	1273	5326
193	1274	5296
194	1275	5267
195	1276	5237
196	1277	5208
197	1278	5179
198	1279	5151
199	1280	5122
200	1281	5095
201	1282	5067
202	1283	5039
203	1284	5012
204	1285	4985
205	1286	4958
206	1287	4932
207	1288	4906
208	1289	4880
209	1290	4855
210	1291	4830
211	1292	4804
212	1293	4779
213	1294	4754
214	1295	4730
215	1296	4705
216	1297	4681
217	1298	4657
218	1299	4634
219	1300	4610
220	1301	4587
221	1302	4564
222	1303	4541
223	1304	4518
224	1305	4495
225	1306	4473
226	1307	4451
227	1308	4429
228	1309	4407
229	1310	4385
230	1311	4364
231	1312	4343
232	1312	4322
233	1313	4301
234	1314	4280
235	1315	4259
236	1316	4239
237	1317	4219
238	1318	4199
239	1319	4179
240	1320	4159
241	1321	4139
242	1322	4120
243	1323	4100
244	1324	4081
245	1325	4062
246	1326	4043
247	1327	4025
248	1328	4006
249	1329	3988
250	1330	3969
251	1331	3951
252	1332	3933
253	1333	3915
254	1334	3897
255	1335	3880
256	1336	3862
257	1337	3845
258	1338	3828
259	1338	3810
260	1339	3793
261	1340	3777
262	1341	3760
263	1342	3743
264	1343	3727
265	1344	3711
266	1345	3695
267	1346	3678
268	1347	3662
269	1348	3646
270	1349	3630
271	1350	3615
272	1351	3599
273	1352	3584
274	1353	3568
275	1354	3553
276	1355	3538
277	1356	3523
278	1357	3508
279	1358	3493
280	1359	3479
281	1360	3464
282	1361	3449
283	1362	3435
284	1363	3420
285	1364	3406
286	1365	3392
287	1366	3378
288	1367	3364
289	1368	3350
290	1369	3337
291	1370	3323
292	1371	3309
293	1372	3296
294	1373	3282
295	1374	3269
296	1375	3256
297	1376	3243
298	1377	3229
299	1378	3216
300	1379	3203
301	1380	3190
302	1381	3177
303	1382	3165
304	1383	3152
305	1384	3139
306	1385	3127
307	1386	3115
308	1387	3102
309	1388	3090
310	1389	3078
311	1390	3066
312	1391	3054
313	1392	3041
314	1393	3030
315	1394	3018
316	1395	3007
317	1396	2996
318	1398	2984
319	1399	2973
320	1400	2962
321	1401	2951
322	1402	2940
323	1403	2929
324	1405	2918
325	1406	2907
326	1407	2896
327	1408	2885
328	1409	2875
329	1410	2864
330	1412	2854
331	1413	2843
332	1414	2833
333	1415	2822
334	1416	2812
335	1417	2802
336	1419	2791
337	1420	2781
338	1421	2771
339	1422	2761
340	1423	2751
341	1425	2741
342	1426	2731
343	1427	2722
344	1428	2712
345	1429	2702
346	1430	2692
347	1432	2683
348	1433	2673
349	1434	2663
350	1435	2654
351	1436	2644
352	1437	2635
353	1439	2626
354	1440	2616
355	1441	2607
356	1442	2598
357	1443	2588
358	1444	2579
359	1445	2569
360	1446	2560
361	1447	2550
362	1448	2541
363	1449	2532
364	1450	2523
365	1451	2514
366	1452	2504
367	1453	2495
368	1454	2486
369	1455	2477
370	1456	2468
371	1457	2459
372	1458	2451
373	1459	2443
374	1460	2434
375	1461	2426
376	1462	2417
377	1463	2408
378	1464	2400
379	1465	2391
380	1466	2383
381	1467	2374
382	1468	2366
383	1469	2357
384	1470	2349
385	1471	2340
386	1472	2332
387	1473	2324
388	1474	2316
389	1475	2308
390	1476	2299
391	1477	2291
392	1478	2284
393	1480	2276
394	1481	2268
395	1482	2260
396	1483	2252
397	1484	2245
398	1485	2237
399	1486	2229
400	1487	2221
401	1488	2213
402	1489	2206
403	1490	2198
404	1491	2190
405	1492	2183
406	1493	2175
407	1494	2167
408	1495	2160
409	1496	2152
410	1497	2145
411	1497	2137
412	1498	2130
413	1499	2123
414	1501	2115
415	1502	2108
416	1503	2101
417	1504	2094
418	1504	2086
419	1506	2079
420	1507	2072
421	1508	2065
422	1509	2058
423	1510	2051
424	1510	2044
425	1511	2037
426	1512	2030
427	1513	2023
428	1514	2016
429	1515	2009
430	1516	2002
431	1517	1995
432	1518	1988
433	1519	1981
434	1520	1975
435	1521	1968
436	1522	1961
437	1523	1955
438	1524	1948
439	1525	1941
440	1526	1935
441	1527	1928
442	1528	1921
443	1529	1915
444	1530	1908
445	1531	1902
446	1532	1895
447	1533	1889
448	1535	1883
449	1536	1877
450	1537	1871
451	1539	1865
452	1540	1860
453	1541	1854
454	1542	1848
455	1543	1841
456	1544	1835
457	1545	1829
458	1546	1823
459	1548	1817
460	1549	1811
461	1550	1805
462	1551	1798
463	1552	1792
464	1553	1786
465	1554	1780
466	1555	1774
467	1556	1768
468	1556	1762
469	1557	1756
470	1558	1750
471	1559	1745
472	1560	1739
473	1561	1733
474	1562	1727
475	1564	1721
476	1564	1715
477	1565	1710
478	1566	1704
479	1567	1698
480	1568	1692
481	1569	1687
482	1570	1681
483	1571	1675
484	1572	1670
485	1573	1664
486	1574	1658
487	1575	1653
488	1576	1647
489	1577	1642
490	1578	1636
491	1579	1631
492	1580	1625
493	1581	1620
494	1582	1614
495	1583	1609
496	1584	1603
497	1585	1598
498	1586	1593
499	1587	1587
500	1588	1582
501	1589	1577
502	1590	1571
503	1591	1566
504	1592	1561
505	1593	1556
506	1594	1550
507	1595	1545
508	1596	1540
509	1598	1535
510	1599	1530
511	1600	1525
512	1601	1520
513	1602	1515
514	1604	1510
515	1604	1505
516	1605	1500
517	1606	1495
518	1607	1490
519	1608	1485
520	1609	1480
521	1611	1475
522	1612	1470
523	1613	1465
524	1614	1461
525	1616	1457
526	1618	1452
527	1619	1447
528	1620	1442
529	1621	1437
530	1622	1432
531	1623	1427
532	1624	1422
533	1625	1418
534	1626	1413
535	1627	1408
536	1628	1403
537	1629	1399
538	1630	1394
539	1631	1389
540	1632	1385
541	1633	1380
542	1634	1375
543	1635	1371
544	1636	1366
545	1637	1361
546	1638	1357
547	1639	1352
548	1640	1347
549	1641	1343
550	1642	1338
551	1643	1334
552	1644	1329
553	1645	1324
554	1646	1320
555	1647	1315
556	1649	1311
557	1650	1307
558	1651	1302
559	1652	1298
560	1653	1293
561	1654	1289
562	1655	1284
563	1656	1280
564	1657	1276
565	1658	1271
566	1659	1267
567	1660	1263
568	1661	1258
569	1662	1254
570	1663	1250
571	1664	1245
572	1665	1241
573	1666	1236
574	1667	1232
575	1668	1228
576	1669	1224
577	1670	1219
578	1671	1215
579	1672	1211
580	1673	1206
581	1674	1202
582	1675	1198
583	1676	1194
584	1677	1190
585	1678	1186
586	1679	1181
587	1681	1177
588	1682	1173
589	1683	1169
590	1684	1165
591	1685	1161
592	1686	1157
593	1687	1153
594	1690	1150
595	1692	1146
596	1693	1142
597	1694	1138
598	1695	1134
599	1696	1130
600	1697	1126
601	1698	1123
602	1699	1119
603	1700	1115
604	1702	1111
605	1703	1107
606	1704	1103
607	1705	1099
608	1706	1095
609	1707	1091
610	1708	1087
611	1709	1083
612	1710	1079
613	1711	1076
614	1712	1072
615	1713	1068
616	1714	1064
617	1716	1060
618	1717	1056
619	1718	1053
620	1719	1049
621	1720	1045
622	1721	1041
623	1722	1038
624	1723	1034
625	1724	1030
626	1725	1026
627	1726	1022
628	1727	1018
629	1728	1015
630	1729	1011
631	1730	1007
632	1731	1003
633	1732	1000
634	1733	996
635	1734	992
636	1735	988
637	1736	985
638	1737	981
639	1738	977
640	1739	974
641	1740	970
642	1741	966
643	1742	963
644	1743	959
645	1744	955
646	1745	952
647	1746	948
648	1747	944
649	1748	941
650	1749	937
651	1750	934
652	1751	930
653	1752	926
654	1753	923
655	1754	919
656	1755	916
657	1755	912
658	1756	909
659	1757	905
660	1758	902
661	1759	898
662	1760	894
663	1761	891
664	1763	888
665	1764	884
666	1765	881
667	1765	877
668	1766	874
669	1767	870
670	1768	867
671	1769	863
672	1770	860
673	1771	857
674	1772	853
675	1773	850
676	1774	846
677	1775	843
678	1777	840
679	1777	836
680	1779	833
681	1780	829
682	1780	826
683	1781	823
684	1782	819
685	1783	816
686	1784	813
687	1785	809
688	1786	806
689	1787	803
690	1788	799
691	1789	796
692	1790	793
693	1791	790
694	1793	786
695	1794	783
696	1795	780
697	1796	777
698	1797	774
699	1798	770
700	1799	767
701	1800	764
702	1801	761
703	1802	758
704	1803	754
705	1804	751
706	1805	748
707	1806	744
708	1807	741
709	1808	738
710	1809	735
711	1810	732
712	1811	729
713	1812	725
714	1813	722
715	1814	719
716	1815	716
717	1816	713
718	1817	710
719	1818	707
720	1819	703
721	1820	700
722	1821	697
723	1822	694
724	1823	691
725	1824	688
726	1825	685
727	1826	682
728	1827	679
729	1828	676
730	1828	673
731	1830	670
732	1830	666
733	1831	663
734	1832	660
735	1833	657
736	1834	654
737	1835	651
738	1836	648
739	1837	645
740	1838	642
741	1839	639
742	1840	636
743	1841	633
744	1842	630
745	1843	627
746	1844	624
747	1845	621
748	1846	618
749	1847	615
750	1848	612
751	1849	609
752	1850	607
753	1851	604
754	1853	601
755	1854	598
756	1856	595
757	1857	593
758	1858	590
759	1859	587
760	1860	584
761	1861	581
762	1862	578
763	1863	575
764	1864	572
765	1865	569
766	1866	566
767	1867	564
768	1868	561
769	1869	558
770	1870	555
771	1871	552
772	1872	549
773	1873	547
774	1874	544
775	1875	541
776	1876	538
777	1877	535
778	1878	532
779	1879	530
780	1880	527
781	1881	524
782	1882	521
783	1883	519
784	1884	516
785	1885	513
786	1886	510
787	1887	507
788	1888	505
789	1889	502
790	1890	499
791	1891	496
792	1892	494
793	1893	491
794	1894	488
795	1895	485
796	1896	483
797	1897	480
798	1898	477
799	1899	474
800	1900	472
801	1901	469
802	1902	466
803	1903	464
804	1904	461
805	1905	458
806	1906	455
807	1907	453
808	1908	450
809	1909	447
810	1910	445
811	1911	442
812	1912	439
813	1913	437
814	1914	434
815	1915	431
816	1916	429
817	1917	426
818	1918	423
819	1918	421
820	1919	418
821	1920	415
822	1921	413
823	1922	410
824	1923	408
825	1924	405
826	1925	402
827	1926	400
828	1927	397
829	1928	395
830	1929	392
831	1930	389
832	1931	387
833	1932	384
834	1933	382
835	1935	379
836	1935	377
837	1936	374
838	1937	371
839	1938	369
840	1939	366
841	1940	364
842	1941	361
843	1942	359
844	1943	356
845	1944	354
846	1945	351
847	1946	348
848	1947	346
849	1948	343
850	1949	341
851	1950	338
852	1951	336
853	1952	333
854	1953	331
855	1954	328
856	1955	326
857	1956	323
858	1957	321
859	1958	318
860	1959	316
861	1960	313
862	1961	311
863	1962	308
864	1963	306
865	1965	304
866	1966	301
867	1967	299
868	1968	296
869	1969	294
870	1970	291
871	1972	289
872	1973	287
873	1975	284
874	1976	282
875	1977	279
876	1979	277
877	1980	275
878	1981	272
879	1982	270
880	1983	267
881	1984	265
882	1985	263
883	1986	260
884	1987	258
885	1988	255
886	1989	253
887	1990	251
888	1991	248
889	1992	246
890	1993	243
891	1994	241
892	1995	239
893	1996	236
894	1997	234
895	1998	231
896	1999	229
897	2000	227
898	2001	224
899	2002	222
900	2003	220
901	2004	217
902	2005	215
903	2006	213
904	2007	210
905	2008	208
906	2009	206
907	2010	203
908	2011	201
909	2012	199
910	2014	196
911	2014	194
912	2015	192
913	2016	189
914	2017	187
915	2018	185
916	2019	182
917	2020	180
918	2021	178
919	2022	175
920	2023	173
921	2024	171
922	2025	168
923	2026	166
924	2027	164
925	2028	162
926	2029	159
927	2030	157
928	2031	155
929	2032	152
930	2033	150
931	2034	148
932	2035	146
933	2036	143
934	2037	141
935	2038	139
936	2039	137
937	2040	134
938	2040	132
939	2041	130
940	2042	128
941	2043	125
942	2044	123
943	2046	121
944	2047	119
945	2048	116
946	2049	114
947	2050	112
948	2051	110
949	2052	108
950	2053	105
951	2054	103
952	2055	101
953	2056	99
954	2057	96
955	2058	94
956	2059	92
957	2059	90
958	2060	88
959	2061	85
960	2062	83
961	2064	81
962	2064	79
963	2065	77
964	2066	74
965	2067	72
966	2069	70
967	2070	68
968	2071	66
969	2072	64
970	2073	61
971	2075	59
972	2076	57
973	2077	55
974	2078	53
975	2079	51
976	2080	48
977	2081	46
978	2082	44
979	2083	42
980	2084	40
981	2085	38
982	2086	36
983	2087	33
984	2088	31
985	2089	29
986	2090	27
987	2091	25
988	2092	23
989	2093	21
990	2094	19
991	2095	16
992	2096	14
993	2097	12
994	2098	10
995	2099	8
996	2100	6
997	2101	4
998	2102	2
999	2103	0
